ABADIA DE GOIAS;75345000;METROPOLITANA;49
ADELANDIA;76155000;SAO LUIS;21
AGUAS LINDAS DE GOIAS;NULL;LUZIANIA;26
ALTO PARAISO DE GOIAS;73770000;POSSE;78
ALVORADA DO NORTE;73950000;POSSE;247
APARECIDA DO RIO DOCE;75827000;RIO VERDE;13
CEZARINA;76195000;METROPOLITANA;90
COLINAS DO SUL;73740000;URUACU;22
CORUMBA DE GOIAS;72960000;ANAPOLIS;619
CROMINIA;75635000;METROPOLITANA;406
DAMIANOPOLIS;73980000;POSSE;100
EDEIA;75940000;METROPOLITANA;935
HEITORAI;76670000;GOIAS;167
INDIARA;75955000;METROPOLITANA;150
MONTES CLAROS DE GOIAS;76255000;IPORA;244
MOSSAMEDES;76150000;GOIAS;1474
NEROPOLIS;75460000;METROPOLITANA;1674
NOVO GAMA;NULL;LUZIANIA;8
PALESTINA DE GOIAS;75845000;IPORA;20
SAO MIGUEL DO PASSA QUATRO;75185000;METROPOLITANA;8
URUTAI;75790000;CATALAO;852
ALOANDIA;75615000;MORRINHOS;204
ARENOPOLIS;76235000;IPORA;126
CAMPESTRE DE GOIAS;75396000;METROPOLITANA;177
DAMOLANDIA;75420000;ANAPOLIS;403
FORMOSA;NULL;FORMOSA;1913
GOIANESIA;NULL;GOIANESIA;4224
GUAPO;75350000;METROPOLITANA;1159
IPORA;76200000;IPORA;5022
ITAGUARU;76660000;GOIANESIA;432
NAZARIO;76180000;METROPOLITANA;691
NOVA CRIXAS;76520000;CERES;222
PEROLANDIA;75823000;JATAI;3
RIALMA;76310000;CERES;746
SANCLERLANDIA;76160000;SAO LUIS;646
SANTA TEREZINHA DE GOIAS;76500000;CERES;340
SAO DOMINGOS;73860000;POSSE;407
SAO JOAO DA PARAUNA;75985000;SAO LUIS;46
SAO LUIS DE MONTES BELOS;76100000;SAO LUIS;3499
SITIO D ABADIA;73990000;POSSE;71
TURVANIA;76110000;SAO LUIS;616
VICENTINOPOLIS;75555000;MORRINHOS;52
AGUA FRIA DE GOIAS;73780000;FORMOSA;3
AMERICANO DO BRASIL;76165000;SAO LUIS;297
ARACU;75410000;METROPOLITANA;508
ARUANA;76710000;GOIAS;210
AURILANDIA;76120000;SAO LUIS;794
BALIZA;76250000;IPORA;221
BOM JESUS;75570000;ITUMBIARA;247
BURITI ALEGRE;75660000;ITUMBIARA;1612
CAMPO LIMPO DE GOIAS;75160000;ANAPOLIS;16
CATALAO;NULL;CATALAO;4089
CHAPADAO DO CEU;75828000;JATAI;1
FLORES DE GOIAS;73890000;POSSE;51
GOIANDIRA;75740000;CATALAO;1071
IPAMERI;75780000;CATALAO;3481
JUSSARA;76270000;GOIAS;2181
MARA ROSA;76490000;URUACU;969
MIMOSO DE GOIAS;73730000;GOIANESIA;8
PALMEIRAS DE GOIAS;76190000;SAO LUIS;2815
PIRENOPOLIS;72980000;ANAPOLIS;1801
RIO VERDE;NULL;RIO VERDE;4473
SANTO ANTONIO DO DESCOBERTO;NULL;LUZIANIA;17
SAO PATRICIO;76343000;CERES;11
TRES RANCHOS;75720000;CATALAO;213
TURVELANDIA;75970000;RIO VERDE;23
VARJAO;75355000;METROPOLITANA;392
VIANOPOLIS;75265000;ANAPOLIS;1337
AMARALINA;76493000;PORANGATU;21
ANAPOLIS;NULL;ANAPOLIS;13855
BELA VISTA DE GOIAS;75240000;METROPOLITANA;1815
BOM JARDIM DE GOIAS;76245000;IPORA;265
BONOPOLIS;76555000;PORANGATU;14
CAIAPONIA;75850000;JATAI;1234
CAMPINACU;76440000;URUACU;97
CARMO DO RIO VERDE;76340000;CERES;1183
CATURAI;75430000;METROPOLITANA;374
CORREGO DO OURO;76145000;SAO LUIS;560
DIORAMA;76260000;IPORA;234
GAMELEIRA DE GOIAS;75184000;ANAPOLIS;1
INHUMAS;75400000;METROPOLITANA;5631
ISRAELANDIA;76205000;IPORA;268
ITAGUARI;76650000;GOIAS;128
IVOLANDIA;76130000;IPORA;440
MAIRIPOTABA;75630000;METROPOLITANA;318
MAURILANDIA;75930000;RIO VERDE;145
MORRO AGUDO DE GOIAS;76355000;CERES;99
NOVA AMERICA;76345000;CERES;299
NOVO BRASIL;76285000;GOIAS;417
PALMELO;75210000;CATALAO;115
PILAR DE GOIAS;76372000;CERES;678
POSSE;73900000;POSSE;1502
QUIRINOPOLIS;75860000;RIO VERDE;2700
SANTA ISABEL;76320000;GOIANESIA;208
SANTA ROSA DE GOIAS;75455000;ANAPOLIS;244
SANTA TEREZA DE GOIAS;76480000;PORANGATU;323
TEREZOPOLIS DE GOIAS;75175000;ANAPOLIS;18
TROMBAS;76460000;PORANGATU;61
UIRAPURU;76525000;CERES;19
URUANA;76335000;CERES;2026
ABADIANIA;72940000;ANAPOLIS;414
BARRO ALTO;76390000;GOIANESIA;331
BURITINOPOLIS;73975000;POSSE;25
CAMPOS BELOS;73840000;POSSE;960
CAMPOS VERDES;76515000;CERES;21
GOIAS;76600000;GOIAS;4228
GOUVELANDIA;75865000;RIO VERDE;45
GUARANI DE GOIAS;73910000;POSSE;120
HIDROLANDIA;75340000;METROPOLITANA;1255
HIDROLINA;76375000;CERES;289
INACIOLANDIA;75550000;ITUMBIARA;9
ITAJA;75815000;RIO VERDE;94
ITAPACI;76360000;CERES;1215
ITAPURANGA;76680000;GOIAS;2598
ITUMBIARA;NULL;ITUMBIARA;4250
JATAI;NULL;JATAI;3911
LEOPOLDO DE BULHOES;75190000;ANAPOLIS;810
LUZIANIA;NULL;LUZIANIA;1317
MAMBAI;73970000;POSSE;211
MINEIROS;75830000;JATAI;1824
MORRINHOS;75650000;MORRINHOS;5208
NIQUELANDIA;76420000;URUACU;1197
NOVA ROMA;73820000;POSSE;223
NOVA VENEZA;75470000;ANAPOLIS;825
OUVIDOR;75715000;CATALAO;245
PANAMA;75580000;ITUMBIARA;320
PARAUNA;75980000;SAO LUIS;1380
PIRACANJUBA;75640000;MORRINHOS;2836
PLANALTINA;NULL;FORMOSA;125
PONTALINA;75620000;MORRINHOS;1872
RIO QUENTE;75695000;MORRINHOS;12
SANTO ANTONIO DE GOIAS;75375000;METROPOLITANA;5
SILVANIA;75180000;ANAPOLIS;2490
SIMOLANDIA;73930000;POSSE;22
TRINDADE;NULL;METROPOLITANA;3556
AGUA LIMPA;75665000;ITUMBIARA;246
ALEXANIA;72930000;ANAPOLIS;96
ALTO HORIZONTE;76560000;URUACU;10
ANHANGUERA;75770000;CATALAO;129
BRAZABRANTES;75440000;METROPOLITANA;226
CABECEIRAS;73870000;FORMOSA;62
CACHOEIRA ALTA;75870000;RIO VERDE;350
CAMPINORTE;76410000;URUACU;340
CASTELANDIA;75925000;RIO VERDE;46
CERES;76300000;CERES;7172
CORUMBAIBA;75680000;CATALAO;772
FAINA;76740000;GOIAS;131
FIRMINOPOLIS;76105000;SAO LUIS;1798
GOIANIRA;75370000;METROPOLITANA;851
IACIARA;73920000;POSSE;285
ITABERAI;76630000;GOIAS;4209
JARAGUA;76330000;GOIANESIA;2946
JAUPACI;76210000;IPORA;164
MOZARLANDIA;76700000;GOIAS;444
MUNDO NOVO;76530000;PORANGATU;91
NOVO PLANALTO;76580000;PORANGATU;17
OURO VERDE DE GOIAS;75165000;ANAPOLIS;268
PORANGATU;76550000;PORANGATU;3906
PORTEIRAO;75603000;RIO VERDE;14
RIANAPOLIS;76315000;CERES;239
SANTA BARBARA DE GOIAS;75398000;METROPOLITANA;222
SANTA RITA DO ARAGUAIA;75840000;JATAI;98
SAO LUIZ DO NORTE;76365000;CERES;49
SENADOR CANEDO;NULL;METROPOLITANA;255
ACREUNA;75960000;RIO VERDE;486
AMORINOPOLIS;76140000;IPORA;427
ANICUNS;76170000;SAO LUIS;3194
ARAGARCAS;76240000;IPORA;245
BONFINOPOLIS;75195000;METROPOLITANA;214
CACHOEIRA DE GOIAS;76125000;IPORA;293
CALDAZINHA;75245000;METROPOLITANA;10
CIDADE OCIDENTAL;NULL;LUZIANIA;5
COCALZINHO DE GOIAS;72975000;ANAPOLIS;19
CRISTALINA;73850000;LUZIANIA;466
EDEALINA;75945000;METROPOLITANA;56
FAZENDA NOVA;76220000;IPORA;746
FORMOSO;76470000;URUACU;673
GOIANAPOLIS;75170000;ANAPOLIS;516
GOIATUBA;75600000;ITUMBIARA;2050
IPIRANGA DE GOIAS;76304000;CERES;1
ITARUMA;75810000;RIO VERDE;149
ITAUCU;75450000;METROPOLITANA;1296
JESUPOLIS;75495000;ANAPOLIS;11
MARZAGAO;75670000;CATALAO;423
MINACU;76450000;PORANGATU;1654
MONTIVIDIU;75915000;RIO VERDE;83
MONTIVIDIU DO NORTE;76465000;PORANGATU;10
MUTUNOPOLIS;76540000;PORANGATU;200
NOVA AURORA;75750000;CATALAO;399
ORIZONA;75280000;ANAPOLIS;2272
PADRE BERNARDO;73700000;GOIANESIA;116
PALMINOPOLIS;75990000;SAO LUIS;368
PARANAIGUARA;75880000;RIO VERDE;236
PIRES DO RIO;75200000;CATALAO;3837
PORTELANDIA;75835000;JATAI;96
RUBIATABA;76350000;CERES;2230
SANTA HELENA DE GOIAS;75920000;RIO VERDE;1754
SAO JOAO D ALIANCA;73760000;FORMOSA;79
SAO MIGUEL DO ARAGUAIA;76590000;PORANGATU;1261
VALPARAISO DE GOIAS;NULL;LUZIANIA;70
VILA BOA;73825000;FORMOSA;1
VILA PROPICIO;76393000;GOIANESIA;2
APARECIDA DE GOIANIA;NULL;METROPOLITANA;3094
APORE;75825000;JATAI;66
ARAGOIANIA;75360000;METROPOLITANA;180
ARAGUAPAZ;76720000;GOIAS;131
AVELINOPOLIS;75395000;METROPOLITANA;148
BRITANIA;76280000;GOIAS;126
BURITI DE GOIAS;76152000;GOIAS;85
CACHOEIRA DOURADA;75560000;ITUMBIARA;45
CACU;75813000;RIO VERDE;281
CALDAS NOVAS;75690000;MORRINHOS;2599
CAMPO ALEGRE DE GOIAS;75795000;CATALAO;208
CAVALCANTE;73790000;POSSE;241
CRISTIANOPOLIS;75230000;METROPOLITANA;278
CRIXAS;76510000;CERES;1602
CUMARI;75760000;CATALAO;697
DAVINOPOLIS;75730000;CATALAO;97
DIVINOPOLIS DE GOIAS;73865000;POSSE;161
DOVERLANDIA;75855000;JATAI;45
ESTRELA DO NORTE;76485000;URUACU;187
GOIANIA;NULL;METROPOLITANA;138602
GUARAITA;76690000;GOIAS;9
ITAPIRAPUA;76290000;GOIAS;430
JANDAIA;75950000;SAO LUIS;947
JOVIANIA;75610000;MORRINHOS;396
MATRINCHA;76730000;GOIAS;52
MOIPORA;76135000;IPORA;285
MONTE ALEGRE DE GOIAS;73830000;POSSE;323
NOVA GLORIA;76305000;CERES;114
PETROLINA DE GOIAS;75480000;ANAPOLIS;1133
PIRANHAS;76230000;IPORA;1104
PROFESSOR JAMIL;75645000;METROPOLITANA;15
SANTA CRUZ DE GOIAS;75220000;CATALAO;437
SANTA FE DE GOIAS;76265000;GOIAS;98
SANTA RITA DO NOVO DESTINO;76395000;GOIANESIA;17
SANTO ANTONIO DA BARRA;75935000;RIO VERDE;43
SAO FRANCISCO DE GOIAS;75490000;ANAPOLIS;401
SAO SIMAO;75890000;RIO VERDE;155
SERRANOPOLIS;75820000;JATAI;220
TAQUARAL DE GOIAS;76640000;GOIAS;659
TERESINA DE GOIAS;73795000;POSSE;8
URUACU;76400000;URUACU;2895
